usage_id,user_id,tool_id,usage_date,sessions,prompts,minutes_used,tokens_used,tasks_completed
69,4,23,2025-05-27,5,35,65,37065,9
70,4,20,2026-01-04,3,48,154,54384,11
71,4,4,2025-12-09,4,24,97,20352,12
72,4,3,2026-04-09,7,21,64,13167,12
73,4,2,2025-03-23,7,54,103,40608,9
74,4,9,2025-08-20,2,21,114,12180,9
75,4,18,2025-06-18,6,58,163,61944,9
76,4,3,2025-06-29,5,27,62,27729,12
77,4,3,2025-12-25,2,46,122,23322,3
78,4,3,2026-04-11,3,40,128,43760,7
79,4,3,2026-06-08,5,46,152,35880,11
80,4,19,2025-11-03,5,21,97,19866,7
81,4,3,2025-08-02,5,45,122,42885,8
82,4,1,2025-12-11,5,40,165,33040,6
83,4,1,2025-09-27,3,36,178,31608,7
84,4,22,2026-03-30,3,23,124,21344,8
85,4,18,2025-04-18,5,43,140,48246,8
86,4,1,2025-02-26,7,50,72,34550,4
87,4,3,2025-05-25,5,50,121,58600,10
88,4,2,2026-03-20,4,22,106,11616,4
89,4,3,2026-02-20,2,24,104,24360,7
90,4,4,2025-03-24,2,58,49,35380,10
91,4,4,2025-10-26,7,55,133,34650,6
92,4,9,2025-12-14,6,42,110,21546,7
93,4,4,2026-04-03,4,30,145,28050,4
94,4,1,2026-06-07,3,21,79,21861,7
95,4,4,2025-08-16,3,50,100,55100,9
96,5,3,2026-01-01,2,6,25,1164,1
97,5,20,2026-02-03,2,6,19,2124,1
98,5,20,2026-05-14,2,6,30,1464,1
99,5,10,2025-12-20,1,2,9,370,0
100,5,20,2026-05-24,2,9,28,3033,0
101,5,4,2026-01-20,1,6,30,1884,2
102,6,1,2025-11-11,2,3,8,1137,1
103,6,18,2026-05-09,1,2,28,700,1
104,6,24,2025-12-13,2,3,4,744,2
105,6,24,2026-01-18,1,4,19,1512,0
106,6,18,2026-01-08,1,1,30,339,0
107,6,4,2026-03-18,2,6,25,2286,0
108,6,10,2025-11-01,2,5,14,1920,2
109,6,25,2025-12-17,2,1,17,203,2
110,6,23,2025-09-07,2,3,17,990,2
111,6,20,2026-01-16,1,2,10,574,1
112,7,23,2025-09-02,2,2,21,330,1
113,7,25,2025-10-21,1,6,6,1320,1
114,7,10,2025-08-28,1,1,8,370,2
115,7,25,2026-02-15,2,2,10,366,0
116,7,11,2025-06-12,2,3,24,630,0
117,7,1,2025-05-05,1,9,6,2250,0
118,7,6,2025-05-16,1,4,11,748,0
119,7,18,2025-02-24,1,4,12,1508,0
120,7,20,2025-11-11,2,9,21,2223,0
121,7,18,2025-11-04,2,8,9,1216,2
122,7,19,2025-05-24,2,8,8,1784,0
123,7,6,2026-05-22,2,6,27,1272,2
124,7,5,2026-03-26,2,5,19,1750,2
125,8,19,2026-02-21,4,18,69,6300,1
126,8,20,2025-09-24,4,20,31,6020,3
127,8,10,2026-03-03,4,21,21,9849,1
128,8,5,2026-04-27,4,18,46,7866,1
129,8,20,2026-04-05,3,16,24,10592,1
130,8,9,2026-02-07,1,21,56,9765,1
131,8,20,2026-01-31,4,7,57,4298,1
132,8,20,2025-12-24,4,21,60,8463,3
133,8,4,2026-06-16,4,12,46,7320,4
134,8,11,2026-01-13,4,9,51,5130,4
135,8,9,2026-03-21,1,18,59,9342,2
136,8,18,2026-05-06,4,6,70,3624,2
137,8,18,2025-11-22,4,19,52,11837,5
138,8,2,2026-03-29,1,16,24,9328,1
139,8,11,2026-03-23,2,8,50,3872,3
140,8,1,2026-05-09,4,22,39,14542,1
141,8,9,2026-05-23,3,19,60,7486,1
142,8,20,2026-06-25,2,15,24,9165,5
143,8,2,2026-04-27,3,12,30,4464,5
144,8,7,2026-06-05,1,20,19,13240,3
145,8,10,2026-01-30,2,9,57,4293,3
146,8,18,2026-02-26,4,10,18,5950,2
147,8,19,2026-05-28,1,6,21,1992,4
148,8,20,2026-03-10,4,15,21,8025,2
149,8,18,2026-02-05,4,12,56,4596,5
150,8,3,2025-09-18,1,8,55,4528,5
151,8,20,2026-01-28,4,14,24,5166,4
152,8,20,2026-03-26,1,24,22,7920,3
153,8,5,2025-11-01,1,17,16,10404,2
154,8,9,2025-10-30,3,11,48,3751,1
155,8,9,2026-04-29,1,10,31,3220,1
156,8,4,2026-02-23,1,6,54,2586,1
157,8,23,2026-02-22,3,12,26,7560,2
158,8,11,2026-05-13,4,12,47,5712,2
159,8,3,2026-05-15,1,21,24,12999,5
160,8,8,2025-12-28,3,7,30,4858,1
161,8,19,2025-10-09,2,19,60,12141,5
162,8,2,2025-10-21,4,16,33,10752,3
163,8,2,2026-03-07,2,21,57,6930,4
164,8,23,2026-04-26,1,16,38,6384,5
165,8,3,2026-02-16,2,16,31,7392,2
166,8,20,2026-02-15,4,10,58,3240,3
167,8,19,2026-05-01,3,7,48,3388,4
168,8,3,2025-10-26,3,20,30,8100,5
169,8,18,2025-10-03,3,18,25,5778,4
170,9,11,2025-12-06,1,2,8,350,1
171,9,10,2025-12-02,1,3,17,1068,1
172,9,10,2026-05-02,1,3,11,936,0
173,9,25,2026-02-11,2,4,5,1296,0
174,9,12,2025-12-23,1,5,10,1750,2
175,9,24,2025-10-20,1,5,4,850,1
176,9,24,2026-01-16,2,4,15,1248,2
177,9,25,2026-03-08,1,6,6,2070,1
178,9,9,2026-06-09,1,6,26,1932,1
179,9,6,2025-11-17,1,1,18,223,2
180,9,7,2025-10-21,1,2,5,442,1
181,9,24,2026-02-01,2,1,16,306,2
182,9,14,2025-11-16,1,3,17,921,0
183,9,14,2026-01-12,2,4,8,1528,1
184,10,6,2025-12-10,3,18,20,5706,1
185,10,8,2026-04-23,1,5,44,2960,4
186,10,16,2025-12-17,4,9,22,3906,1
187,10,13,2026-03-31,3,6,42,2466,2
188,10,7,2026-02-15,3,13,17,3913,4
189,10,8,2026-06-11,2,16,38,4864,2
190,10,27,2026-06-29,1,7,46,2856,4
191,10,26,2026-03-09,2,14,21,7490,5
192,10,28,2025-12-14,2,9,29,3717,3
193,10,26,2025-12-16,1,6,51,1920,4
194,10,9,2026-02-28,2,5,63,3455,5
195,10,8,2026-04-08,3,13,16,4901,1
196,10,27,2026-03-22,2,9,54,2727,3
197,10,10,2026-03-25,3,21,40,12369,2
198,10,28,2026-06-05,4,14,25,7028,1
199,10,26,2026-03-16,2,5,59,1860,4
200,10,28,2026-01-15,1,13,44,6981,1
201,10,13,2025-11-29,4,5,14,2380,2
202,10,28,2025-11-30,2,11,42,7238,2
203,10,28,2026-06-02,2,7,37,3976,1
204,10,8,2026-06-02,1,17,56,5916,4
205,10,26,2026-04-06,4,11,49,5390,3
206,10,5,2026-06-03,3,20,64,10800,2
207,10,12,2026-03-06,1,4,25,1684,4
208,10,6,2025-12-16,4,9,51,5373,4
209,10,11,2026-02-07,3,16,20,10176,1
210,10,16,2026-01-11,4,5,7,1635,2
211,10,7,2026-04-15,2,13,25,8307,2
212,10,26,2026-02-08,3,20,32,12700,2
213,10,12,2025-12-15,4,11,35,6688,2
214,10,13,2026-06-05,1,6,11,3744,2
215,10,17,2026-05-30,2,6,11,2196,4
216,10,6,2026-05-26,1,13,41,8671,2
217,10,26,2026-04-06,1,18,36,5832,4
218,10,26,2025-11-29,1,16,60,9664,2
219,10,17,2026-03-25,4,8,20,4792,1
220,10,6,2026-01-01,1,5,61,1910,5
221,10,28,2026-06-25,1,20,34,9860,5
222,10,26,2026-04-27,2,8,16,3472,2
223,10,11,2026-04-16,3,8,62,3984,4
224,10,28,2025-12-19,2,8,41,4392,1
225,10,7,2026-03-12,3,19,44,10165,1
226,10,28,2026-03-09,2,7,51,3934,4
227,10,26,2026-02-14,3,13,34,8255,1
228,10,8,2026-03-09,2,15,58,10410,2
229,10,15,2026-02-25,1,9,39,5481,4
230,11,2,2025-10-28,2,3,21,1125,0
231,11,18,2025-12-11,1,8,10,3080,2
232,11,20,2026-05-14,2,6,10,1050,2
233,11,1,2026-05-03,2,2,28,776,1
234,11,18,2026-01-09,1,8,15,1648,0
235,11,2,2025-10-10,2,9,12,3393,1
236,11,10,2026-05-02,1,4,13,864,0
237,11,5,2025-12-04,1,2,17,734,2
238,11,4,2025-08-17,2,6,19,2226,1
239,11,10,2026-05-18,2,9,17,3177,1
240,12,7,2026-05-01,3,12,41,5064,4
241,12,30,2026-06-05,3,18,42,12096,5
242,12,22,2026-05-23,1,16,25,7088,2
243,12,30,2026-01-10,3,5,53,3285,1
244,12,7,2026-03-08,1,16,28,11024,4
245,12,7,2026-05-18,3,18,44,8172,4
246,12,29,2025-11-01,4,14,25,5908,3
247,12,23,2025-11-28,3,9,35,3258,3
248,12,30,2026-04-13,2,13,27,6656,1
249,12,30,2026-06-12,3,12,66,3936,4
250,12,6,2026-04-15,4,13,23,8424,1
251,12,29,2026-03-04,3,11,26,3971,1
252,12,30,2025-11-21,3,16,27,6512,3
253,12,23,2026-01-08,2,16,42,8560,3
254,12,30,2025-11-10,1,22,29,13838,2
255,12,23,2025-11-04,4,13,21,5369,4
256,12,29,2026-03-25,4,18,63,8370,4
257,12,30,2025-10-29,1,14,19,8820,1
258,12,11,2026-04-26,3,10,49,5740,1
259,12,30,2026-01-20,1,6,17,2262,4
260,12,21,2026-05-03,2,6,30,2370,3
261,12,29,2025-11-28,4,5,58,2270,2
262,12,11,2026-05-19,1,12,46,6840,1
263,12,29,2026-06-18,1,12,24,4812,4
264,12,7,2026-04-28,2,18,28,12042,1
265,12,6,2026-03-25,4,13,40,4745,3
266,12,10,2026-05-28,2,13,27,5018,2
267,12,8,2025-12-26,2,11,16,4917,3
268,12,23,2026-04-24,2,14,26,5124,2
269,12,29,2026-03-07,3,6,49,3018,1
270,12,11,2026-02-23,1,11,44,6710,4
271,12,21,2026-05-12,2,9,35,2871,1
272,12,29,2025-12-07,4,8,40,5040,5
273,12,29,2026-04-27,1,22,62,13684,4
274,12,10,2026-03-14,3,19,51,7638,3
275,12,30,2025-12-01,2,12,30,7836,2
276,12,29,2026-06-21,1,8,58,3592,3
277,13,2,2025-07-11,3,44,109,24552,9
278,13,3,2025-08-08,4,21,106,15708,10
279,13,9,2025-03-13,7,25,124,13900,7
280,13,4,2025-10-13,2,36,48,35892,8
281,13,3,2025-05-08,7,60,97,39120,3
282,13,9,2025-08-17,5,29,104,34104,3
283,13,3,2026-02-16,3,54,148,47196,9
284,13,3,2026-05-06,2,45,96,34065,12
285,13,2,2025-03-13,4,24,112,18576,4
286,13,3,2025-12-07,5,38,50,41154,4
287,13,4,2025-08-08,6,42,116,44520,10
288,13,2,2025-03-06,5,18,171,11520,3
289,13,4,2025-06-15,7,18,58,20466,10
290,13,1,2025-06-06,4,22,78,23870,6
291,13,22,2026-02-21,5,44,100,51128,10
292,13,4,2025-08-12,2,30,112,30060,10
293,13,2,2025-05-19,5,46,151,24288,10
294,13,25,2026-03-10,4,24,117,27648,6
295,13,7,2025-07-30,2,22,132,19602,8
296,13,1,2026-06-12,7,43,75,31734,4
297,13,2,2025-05-07,6,22,102,11528,8
298,13,4,2025-10-09,4,52,170,41080,10
299,13,1,2025-01-05,3,49,133,47775,9
300,13,4,2026-05-27,5,40,135,38320,12
301,13,3,2025-04-05,5,32,106,27360,9
302,13,18,2025-09-24,4,20,50,18320,6
303,13,2,2026-04-30,3,20,138,17900,7
304,13,2,2026-04-24,5,24,64,27600,12
305,13,18,2026-01-28,3,42,79,23100,8
306,13,1,2025-07-06,4,44,64,29260,11
307,13,4,2025-08-03,5,40,84,23200,8
308,13,20,2025-12-13,6,48,100,37824,9
309,13,18,2025-11-05,4,37,92,26862,7
310,13,18,2025-11-12,6,26,108,28158,12
311,13,2,2025-09-25,4,51,91,37281,12
312,13,10,2025-10-01,2,55,157,65560,11
313,13,2,2025-02-21,6,43,124,39990,5
314,13,19,2025-08-15,6,58,146,59972,12
315,13,10,2025-04-16,3,28,60,14224,12
316,13,1,2025-06-30,2,54,164,29376,10
317,13,3,2025-07-20,4,49,104,41356,10
318,13,21,2025-05-12,2,27,36,14661,7
319,13,4,2025-11-11,5,22,69,24750,6
320,13,1,2025-05-28,7,44,63,28116,4
321,13,4,2025-12-11,5,44,128,48796,9
322,13,3,2026-05-01,2,60,114,34800,12
323,13,18,2025-09-28,7,45,132,36225,6
324,13,3,2026-02-14,5,34,60,19516,6
325,13,7,2025-02-22,3,36,69,25020,9
326,13,2,2025-02-07,3,32,94,30976,7
327,13,4,2025-08-04,7,25,50,20200,6
328,13,20,2026-03-05,6,48,168,50544,3
329,13,3,2025-05-28,6,38,105,41648,3
330,13,1,2026-05-17,5,39,57,38064,7
331,13,1,2025-11-09,3,42,56,27636,6
332,13,3,2025-02-21,3,30,172,32160,12
333,13,8,2026-02-08,4,28,106,23632,5
334,13,2,2026-06-20,3,34,49,21726,3
335,13,4,2025-04-24,3,33,49,24255,3
336,13,3,2026-02-26,5,51,57,31875,9
337,13,22,2025-01-14,5,37,52,36593,12
338,13,19,2025-09-16,7,21,74,16464,8
339,13,1,2025-06-30,3,60,165,45840,10
340,13,1,2025-08-13,4,27,54,17010,11
341,13,1,2025-01-20,2,52,157,34632,5
342,13,18,2025-10-30,2,45,56,42705,9
343,13,7,2026-04-22,7,23,160,22701,10
344,13,3,2026-03-03,2,31,87,17081,9
345,13,2,2026-03-31,3,54,144,35154,8
346,14,9,2025-06-23,2,17,60,5440,5
347,14,22,2025-10-06,4,12,54,5160,5
348,14,18,2025-07-27,4,14,66,5544,4
349,14,1,2026-05-03,2,9,27,3087,1
350,14,24,2025-12-19,4,4,24,2624,3
351,14,25,2026-05-10,1,5,35,1625,4
352,14,1,2026-05-05,2,10,44,3530,5
353,14,25,2026-03-13,3,8,42,3696,1
354,14,2,2025-06-20,2,24,46,16392,3
355,14,4,2025-06-24,2,6,45,2688,2
356,14,4,2025-06-21,4,18,69,7794,5
357,14,10,2026-06-01,2,12,17,7848,5
358,14,21,2025-08-18,3,12,38,3708,3
359,14,4,2025-12-08,3,6,38,3222,1
360,14,21,2026-06-06,3,15,42,9750,3
361,14,3,2025-06-28,4,24,37,14856,2
362,14,2,2025-06-12,3,21,34,9177,2
363,14,4,2025-11-20,3,12,30,5796,5
364,14,4,2025-05-03,4,19,58,6498,2
365,14,21,2025-04-06,3,9,21,5427,3
366,14,3,2026-06-08,4,13,20,4901,5
367,14,4,2025-07-20,4,14,52,8988,2
368,14,18,2026-05-20,3,12,20,6240,4
369,14,3,2026-02-05,1,18,25,7182,2
370,14,18,2026-02-21,1,7,38,4151,5
371,14,9,2026-03-18,2,8,64,2736,2
372,14,9,2026-05-21,2,8,43,5464,3
373,14,1,2026-03-22,3,10,50,5780,4
374,14,4,2025-08-22,1,9,62,3204,5
375,14,1,2025-10-08,3,16,27,10304,1
376,14,4,2025-06-21,4,22,66,12496,4
377,14,3,2025-12-14,3,20,66,10100,3
378,14,8,2026-04-10,3,8,58,4176,2
379,14,2,2025-05-19,2,21,28,8211,1
380,14,1,2025-08-26,1,7,39,2681,5
381,14,2,2026-05-04,1,16,55,8976,5
382,14,23,2026-06-09,1,6,40,3684,4
383,14,4,2026-01-18,3,9,67,3438,5
384,14,18,2026-04-03,1,7,34,3647,4
385,14,2,2026-03-19,1,7,18,3346,2
386,14,20,2025-09-11,2,20,32,6980,1
387,15,10,2025-09-23,2,4,24,1520,0
388,15,9,2025-12-22,1,8,27,1544,2
389,15,5,2025-07-24,2,7,24,2296,1
390,15,22,2026-02-02,1,3,9,1098,2
391,15,13,2026-03-07,2,2,7,716,1
392,15,28,2025-08-05,2,2,25,792,2
393,15,19,2025-09-22,2,9,9,1917,1
394,15,9,2025-06-24,1,4,10,1276,2
395,15,6,2025-10-17,1,2,24,734,2
396,15,6,2025-12-19,1,8,26,2688,0
397,15,10,2026-06-21,1,8,23,2208,1
398,15,21,2026-01-26,2,2,4,624,2
399,15,11,2025-11-07,1,2,27,364,1
400,15,10,2025-08-22,2,2,18,796,2
401,15,28,2026-05-19,1,5,16,1595,1
402,16,21,2026-04-22,6,81,167,125874,20
403,16,9,2026-02-28,9,129,131,139707,18
404,16,7,2026-03-02,12,126,257,142632,18
405,16,7,2026-03-30,10,132,277,107976,22
406,16,21,2026-02-11,4,86,142,152478,12
407,16,22,2025-11-23,8,43,256,72928,20
408,16,5,2026-01-29,11,86,291,156434,16
409,16,11,2026-03-03,8,104,184,99216,24
410,16,25,2025-06-17,10,79,121,109889,22
411,16,11,2025-10-13,7,104,318,206960,25
412,16,21,2025-11-01,8,102,203,87414,16
413,16,24,2026-05-31,6,84,236,134988,8
414,16,6,2025-06-20,4,66,211,71610,22
415,16,25,2025-09-16,12,93,84,77841,25
416,16,25,2025-10-21,12,42,229,52626,8
417,16,11,2026-02-08,12,73,299,64532,18
418,16,6,2026-03-03,11,80,308,81360,25
419,16,6,2025-04-28,6,106,320,165148,8
420,16,24,2025-05-14,9,71,227,115375,11
421,16,11,2025-10-20,7,48,208,76464,17
422,16,25,2026-05-18,7,76,182,106552,21
423,16,5,2026-01-03,11,46,282,47932,24
424,16,8,2026-03-16,4,47,129,57199,21
425,16,5,2025-05-15,7,81,181,115020,16
426,16,24,2025-11-08,11,60,208,90120,21
427,16,10,2026-06-14,9,70,192,61530,20
428,16,24,2025-06-19,9,67,196,113431,23
429,16,25,2026-05-19,6,50,108,52750,8
430,16,6,2026-03-12,8,105,322,90300,16
431,16,8,2025-11-06,8,119,179,174454,19
432,16,11,2025-11-30,9,70,131,89180,25
433,16,24,2025-12-27,5,45,130,66690,19
434,16,24,2026-04-15,4,32,223,41920,20
435,16,24,2025-06-06,5,80,120,87440,22
436,16,8,2026-05-21,8,118,279,226206,15
437,16,11,2025-10-02,9,126,198,144900,13
438,16,10,2025-07-17,9,65,312,93600,11
439,16,7,2025-12-27,9,129,122,221622,10
440,16,24,2026-01-16,4,68,134,67252,16
441,16,7,2025-09-05,11,75,313,116175,14
442,16,6,2025-09-20,11,117,304,164385,11
443,16,22,2025-06-20,9,102,149,200838,22
444,16,25,2026-06-28,7,35,140,44555,23
445,16,9,2025-08-12,7,63,258,78435,21
446,16,24,2026-04-08,7,56,203,104552,13
447,16,5,2026-01-08,11,114,248,132012,25
448,16,24,2025-12-22,12,80,112,65520,17
449,16,22,2025-07-24,9,43,153,50353,11
450,16,7,2025-11-16,9,73,190,92199,23
451,16,23,2025-05-16,5,94,210,95786,19
452,16,8,2025-07-26,8,82,205,148912,10
453,16,22,2026-05-06,10,54,216,87156,10
454,16,13,2025-08-06,10,39,168,77142,16
455,16,4,2025-09-02,9,55,295,108735,8
456,16,9,2025-05-15,12,133,265,198968,23
457,16,24,2026-01-18,7,66,104,65604,10
458,16,10,2026-03-26,12,88,187,101024,17
459,16,7,2026-03-04,11,125,202,212125,13
460,16,10,2026-06-16,11,94,289,185086,19
461,16,21,2026-01-11,5,103,92,120098,12
462,16,25,2026-04-30,12,93,207,88443,12
463,16,24,2026-03-14,11,40,166,33160,18
464,16,23,2025-09-21,8,73,267,73146,16
465,16,21,2025-11-24,11,54,200,86454,24
466,16,24,2026-04-27,7,34,114,63954,24
467,16,8,2026-06-29,12,59,316,57053,15
468,16,10,2026-06-22,12,57,184,84873,8
469,16,1,2026-05-03,6,63,243,110754,9
470,16,6,2026-02-01,10,103,262,126175,15
471,16,22,2025-06-05,9,93,204,78306,22
472,16,12,2026-05-19,9,44,85,70752,8
473,16,21,2025-06-22,7,102,99,83742,15
474,16,13,2026-02-08,11,55,86,79475,19
475,16,25,2025-05-12,4,85,138,161075,11
476,16,1,2025-05-12,8,97,126,104469,17
477,16,25,2025-08-04,10,38,141,71706,23
478,16,25,2025-07-01,11,40,116,60560,24
479,16,22,2026-02-05,7,59,162,76405,9
480,16,23,2025-10-08,12,72,253,121032,10
481,16,7,2025-12-07,7,56,281,83104,20
482,16,21,2026-02-14,11,100,123,153100,19
483,16,21,2025-06-11,10,69,137,110676,9
484,16,11,2025-08-21,11,117,156,202995,8
485,16,4,2026-05-18,10,110,109,165220,15
486,16,24,2025-10-31,8,57,85,93708,10
487,16,24,2026-03-06,11,64,201,78016,18
488,16,11,2025-09-21,10,83,114,129812,11
489,16,24,2025-06-29,11,53,73,71020,12
490,16,6,2025-11-23,6,115,127,153985,16
491,16,10,2025-06-19,12,131,170,189819,14
492,16,4,2026-02-09,4,111,259,180153,16
493,16,11,2026-02-25,4,128,154,147712,24
494,16,10,2026-03-01,12,112,327,151424,18
495,16,22,2025-06-17,7,73,204,126217,12
496,16,21,2025-12-09,8,58,85,96860,25
497,16,12,2026-05-29,5,62,210,83948,9
498,16,24,2026-02-17,12,84,84,154392,23
499,16,25,2025-12-03,9,84,116,107436,14
500,16,8,2025-12-07,4,79,125,100804,8
501,16,11,2025-06-17,9,73,254,121034,8
502,16,24,2025-11-09,6,67,125,76447,9
503,16,1,2026-03-22,6,82,133,71422,19
504,16,6,2025-04-24,8,82,116,68880,9
505,16,22,2026-04-09,8,46,210,57040,13
506,16,24,2026-06-25,12,39,84,69732,17
507,16,24,2025-07-03,8,87,167,74559,25
508,16,8,2025-08-29,10,72,149,83736,19
509,16,25,2026-06-26,8,46,109,64078,8
510,16,24,2025-07-18,10,41,93,77572,9
511,16,25,2025-11-02,12,76,92,120156,14
512,16,24,2025-07-06,12,72,163,82584,9
513,16,2,2026-05-24,4,52,290,77272,15
514,16,8,2026-04-25,6,52,259,79976,14
515,16,5,2025-04-26,9,108,232,155628,8
516,16,25,2025-08-23,6,65,235,126945,8
517,16,25,2025-08-09,11,40,110,34800,22
518,16,24,2025-06-15,7,87,238,137373,9
519,16,22,2025-05-29,10,92,113,108560,11
520,16,25,2025-09-29,8,73,233,75117,23
521,16,24,2026-01-26,5,80,72,138480,16
522,16,8,2025-05-18,6,74,312,104858,17
523,16,2,2025-07-24,9,69,135,111297,8
524,16,24,2025-08-08,8,40,100,33360,16
525,16,8,2026-06-03,11,69,204,58374,14
526,16,10,2026-03-15,9,92,131,115920,12
527,16,5,2026-03-20,11,128,328,180992,25
528,16,24,2025-09-06,9,68,191,129608,19
529,16,24,2025-06-27,5,42,189,43092,18
530,16,12,2025-07-17,10,76,135,105184,25
531,16,3,2025-12-22,12,112,350,207424,21
532,16,25,2025-11-01,4,32,174,60032,16
533,16,7,2025-05-03,12,75,222,145575,10
534,16,12,2026-02-07,4,71,114,139231,12
535,16,25,2025-05-13,4,72,188,135576,14
536,16,6,2026-06-21,7,89,162,121930,25
537,16,25,2025-09-06,11,36,175,40428,11
538,16,25,2025-10-01,8,76,109,83828,8
539,16,24,2025-08-01,11,46,74,70610,18
540,16,24,2026-05-15,7,32,84,26944,8
541,16,10,2025-08-26,8,104,236,134160,11
542,16,9,2026-01-10,12,129,328,253227,10
543,16,24,2025-11-14,4,33,190,32637,20
544,17,21,2026-06-07,2,3,17,1017,2
545,17,11,2026-06-29,2,1,19,152,2
546,17,10,2025-11-22,1,8,23,1728,1
547,17,18,2025-07-03,2,4,14,1044,0
548,17,23,2025-10-25,2,1,7,283,0
549,17,20,2026-04-27,2,6,18,1668,0
550,17,10,2025-09-06,1,4,28,864,2
551,17,19,2025-10-04,2,4,15,1020,1
552,17,19,2025-12-31,2,6,27,2262,2
553,18,22,2026-02-25,1,1,7,164,2
554,18,29,2025-09-23,1,3,9,951,0
555,18,30,2025-07-14,1,7,9,1106,2
556,18,29,2026-03-25,2,6,9,1614,0
557,18,22,2026-06-05,1,6,12,1140,0
558,18,30,2025-07-22,1,5,7,950,2
559,18,29,2026-04-22,2,2,24,358,2
560,18,29,2026-05-31,1,6,17,1764,0
561,18,30,2025-09-10,1,1,20,304,0
562,18,30,2026-02-17,2,1,6,171,0
563,18,6,2026-03-05,1,1,7,335,2
564,18,9,2025-09-17,2,2,18,344,0
565,18,30,2026-04-12,2,1,22,338,1
566,19,6,2026-06-22,2,5,18,1675,0
567,19,14,2026-06-01,1,2,13,514,0
568,19,19,2026-04-28,1,2,28,344,1
569,19,22,2026-05-12,1,4,18,1464,0
570,19,27,2026-05-20,2,2,20,508,2
571,19,22,2026-06-14,1,2,17,642,0
572,19,26,2026-05-14,2,7,17,2723,1
573,19,19,2026-03-29,1,6,8,2364,2
574,19,19,2026-06-27,2,6,28,1350,1
575,19,26,2026-06-02,1,1,25,203,1
576,19,22,2026-03-23,2,7,12,2793,0
577,19,22,2026-06-28,2,3,12,489,1
578,19,8,2026-05-19,1,2,9,344,1
579,19,8,2026-06-25,2,6,11,1446,1
580,19,9,2026-03-12,2,5,16,1570,0
581,19,5,2026-06-03,2,4,24,1160,0
