subscription_id,user_id,tool_id,plan,monthly_price,start_date,end_date,status
104,199,14,Pro,24.99,2025-12-01,,Active
105,199,13,Basic,9.99,2025-11-07,2026-04-17,Cancelled
106,201,3,Pro,24.99,2025-08-09,2025-11-28,Cancelled
107,201,3,Team,59.99,2025-12-21,,Active
108,204,4,Pro,24.99,2026-06-15,,Active
109,204,1,Basic,9.99,2026-01-18,,Active
110,205,2,Basic,9.99,2026-04-17,,Active
111,205,3,Pro,24.99,2026-04-08,,Active
112,206,22,Pro,24.99,2026-05-03,,Active
113,210,4,Team,59.99,2025-05-24,2025-10-20,Cancelled
114,210,3,Team,59.99,2025-09-15,,Active
115,213,20,Basic,9.99,2026-04-05,,Active
116,220,17,Team,59.99,2026-03-13,,Active
117,223,20,Basic,9.99,2025-08-05,,Active
118,225,13,Basic,9.99,2026-05-21,,Active
119,230,23,Pro,24.99,2025-07-05,,Active
120,232,4,Pro,24.99,2026-03-08,,Active
121,233,26,Basic,9.99,2026-04-01,,Active
122,239,5,Pro,24.99,2026-06-03,,Active
123,240,2,Team,59.99,2025-08-06,,Active
124,244,20,Team,59.99,2025-12-08,,Active
125,244,11,Team,59.99,2025-05-13,,Active
126,252,2,Basic,9.99,2026-03-14,,Active
127,255,9,Basic,9.99,2025-12-24,,Active
128,256,22,Basic,9.99,2026-05-03,,Active
129,257,22,Pro,24.99,2026-03-17,,Active
130,258,2,Basic,9.99,2025-08-05,,Active
131,261,26,Basic,9.99,2025-10-23,,Active
132,261,6,Enterprise,149.99,2025-10-18,2026-01-03,Cancelled
133,262,21,Basic,9.99,2026-01-02,,Active
134,262,19,Enterprise,149.99,2026-03-10,2026-05-20,Cancelled
135,264,18,Pro,24.99,2026-06-11,,Active
136,267,20,Pro,24.99,2025-06-18,,Active
137,269,25,Basic,9.99,2026-02-03,,Active
138,271,19,Pro,24.99,2025-06-25,,Active
139,277,3,Basic,9.99,2025-12-23,,Active
140,278,20,Pro,24.99,2026-04-24,,Active
141,278,11,Pro,24.99,2026-05-27,,Active
142,279,6,Pro,24.99,2025-12-30,,Active
143,279,25,Pro,24.99,2026-06-05,,Active
144,290,28,Team,59.99,2026-04-01,,Active
145,295,4,Pro,24.99,2026-04-18,2026-06-13,Cancelled
146,298,18,Pro,24.99,2025-12-11,,Active
147,299,18,Basic,9.99,2025-12-22,,Active
148,306,10,Pro,24.99,2026-05-15,,Active
149,306,19,Basic,9.99,2026-03-28,,Active
150,307,7,Basic,9.99,2026-05-01,2026-06-05,Cancelled
151,307,20,Pro,24.99,2026-04-02,,Active
152,311,8,Basic,9.99,2026-04-07,,Active
153,311,28,Basic,9.99,2026-05-07,,Active
154,312,20,Basic,9.99,2025-11-05,,Active
155,314,18,Basic,9.99,2025-12-19,,Active
156,315,19,Pro,24.99,2025-10-25,,Active
157,316,1,Pro,24.99,2025-09-02,,Active
158,324,26,Team,59.99,2026-03-13,,Active
159,327,6,Team,59.99,2025-01-30,,Active
160,329,28,Basic,9.99,2025-05-20,,Active
161,329,14,Pro,24.99,2025-07-01,,Active
162,331,11,Basic,9.99,2025-06-10,,Active
163,331,10,Basic,9.99,2025-10-13,,Active
164,338,29,Basic,9.99,2025-08-17,,Active
165,348,9,Enterprise,149.99,2026-03-22,,Active
166,348,9,Basic,9.99,2025-12-31,2026-03-12,Cancelled
167,357,1,Pro,24.99,2026-02-03,,Active
168,359,9,Pro,24.99,2026-04-24,,Active
169,361,2,Basic,9.99,2026-02-16,2026-05-29,Cancelled
170,361,3,Pro,24.99,2025-10-17,,Active
171,363,10,Basic,9.99,2026-05-17,,Active
172,366,20,Basic,9.99,2026-02-06,,Active
173,366,10,Basic,9.99,2026-01-27,,Active
174,368,21,Team,59.99,2025-07-08,,Active
175,368,8,Pro,24.99,2026-01-06,,Active
176,370,11,Pro,24.99,2025-10-22,2026-02-08,Cancelled
177,372,28,Basic,9.99,2025-10-17,,Active
178,377,3,Basic,9.99,2025-09-19,,Active
179,379,5,Basic,9.99,2025-10-10,,Active
180,389,21,Basic,9.99,2026-01-14,,Active
181,389,23,Pro,24.99,2026-01-31,,Active
182,392,10,Basic,9.99,2025-08-26,,Active
183,395,29,Pro,24.99,2025-10-25,,Active
184,395,22,Basic,9.99,2026-04-19,,Active
185,398,25,Basic,9.99,2025-10-15,2025-11-21,Cancelled
186,399,8,Enterprise,149.99,2026-04-16,,Active
187,400,24,Basic,9.99,2025-07-12,,Active
188,400,5,Basic,9.99,2026-03-13,,Active
189,402,6,Basic,9.99,2025-06-07,,Active
190,404,24,Pro,24.99,2026-06-07,,Active
191,406,4,Pro,24.99,2026-03-05,,Active
192,407,1,Pro,24.99,2025-06-10,,Active
193,407,18,Basic,9.99,2025-08-26,2025-11-07,Cancelled
194,408,9,Pro,24.99,2026-05-12,,Active
195,408,8,Basic,9.99,2026-02-06,,Active
196,410,22,Basic,9.99,2025-11-25,,Active
197,413,12,Basic,9.99,2025-09-28,,Active
198,414,10,Pro,24.99,2025-08-15,,Active
199,415,6,Pro,24.99,2025-02-21,2025-06-05,Cancelled
200,417,8,Basic,9.99,2025-12-25,2026-03-23,Cancelled
201,422,4,Enterprise,149.99,2025-04-28,,Active
202,425,25,Pro,24.99,2026-04-19,,Active
203,426,19,Enterprise,149.99,2025-12-25,,Active
204,426,9,Basic,9.99,2025-09-22,,Active
205,434,20,Pro,24.99,2026-03-12,,Active
206,434,24,Pro,24.99,2025-09-01,,Active
207,435,28,Pro,24.99,2026-03-13,,Active
208,436,21,Basic,9.99,2025-06-13,,Active
209,439,16,Pro,24.99,2026-02-19,,Active
210,441,20,Basic,9.99,2026-06-16,,Active
211,444,17,Enterprise,149.99,2025-04-03,,Active
212,444,9,Pro,24.99,2025-03-26,,Active
213,451,6,Basic,9.99,2026-02-04,,Active
214,455,17,Team,59.99,2026-01-11,,Active
215,455,28,Team,59.99,2026-03-23,2026-06-08,Cancelled
216,458,19,Basic,9.99,2026-02-21,,Active
217,463,4,Basic,9.99,2026-01-26,,Active
218,468,4,Basic,9.99,2025-02-25,,Active
219,469,14,Team,59.99,2025-12-22,,Active
220,470,17,Basic,9.99,2026-03-13,2026-04-28,Cancelled
221,471,24,Pro,24.99,2025-11-16,,Active
222,472,17,Basic,9.99,2026-03-26,2026-06-07,Cancelled
223,472,17,Basic,9.99,2025-12-26,,Active
224,477,19,Enterprise,149.99,2025-05-01,2025-06-12,Cancelled
225,477,19,Pro,24.99,2025-08-13,,Active
226,478,13,Basic,9.99,2025-08-13,,Active
227,479,22,Basic,9.99,2026-03-08,,Active
228,482,27,Basic,9.99,2025-08-05,,Active
229,483,6,Basic,9.99,2026-01-25,,Active
230,484,14,Basic,9.99,2026-03-14,,Active
231,489,5,Pro,24.99,2025-03-23,,Active
232,489,1,Pro,24.99,2025-08-04,,Active
233,490,20,Basic,9.99,2025-12-17,,Active
234,495,2,Pro,24.99,2025-10-22,,Active
235,497,10,Team,59.99,2026-05-19,,Active
236,497,5,Pro,24.99,2026-01-19,,Active
237,498,20,Pro,24.99,2025-07-06,,Active
238,499,8,Pro,24.99,2025-11-14,,Active
239,500,4,Basic,9.99,2026-06-10,,Active
240,507,18,Pro,24.99,2026-03-22,,Active
241,510,6,Pro,24.99,2026-01-31,2026-03-18,Cancelled
242,511,15,Basic,9.99,2026-01-18,,Active
243,516,7,Team,59.99,2025-08-29,,Active
244,519,23,Basic,9.99,2026-04-07,,Active
245,520,10,Pro,24.99,2025-09-14,,Active
246,521,1,Basic,9.99,2026-02-22,,Active
247,521,21,Pro,24.99,2026-06-11,,Active
248,523,2,Team,59.99,2025-12-22,,Active
249,523,19,Basic,9.99,2026-01-12,2026-03-12,Cancelled
250,524,11,Team,59.99,2026-05-09,,Active
251,524,7,Enterprise,149.99,2026-02-02,,Active
252,525,28,Team,59.99,2025-12-04,,Active
253,525,1,Basic,9.99,2026-02-12,,Active
254,528,11,Basic,9.99,2025-04-21,,Active
255,528,10,Pro,24.99,2025-07-02,,Active
256,536,4,Basic,9.99,2025-11-25,,Active
257,536,1,Basic,9.99,2025-07-06,,Active
258,537,7,Basic,9.99,2026-05-13,,Active
259,539,6,Pro,24.99,2026-04-07,,Active
260,539,10,Pro,24.99,2025-08-26,,Active
261,543,27,Team,59.99,2026-03-06,,Active
262,543,15,Basic,9.99,2025-12-24,,Active
263,545,10,Basic,9.99,2026-03-11,,Active
264,546,4,Basic,9.99,2026-05-27,,Active
265,553,10,Basic,9.99,2026-01-30,,Active
266,556,7,Basic,9.99,2026-04-12,,Active
267,561,9,Basic,9.99,2025-10-26,,Active
268,562,10,Basic,9.99,2026-02-04,,Active
269,562,2,Pro,24.99,2026-03-20,,Active
270,567,26,Team,59.99,2025-10-25,,Active
271,568,25,Pro,24.99,2025-08-22,,Active
272,569,3,Enterprise,149.99,2025-07-13,,Active
273,571,23,Basic,9.99,2025-12-05,,Active
274,572,20,Basic,9.99,2025-12-27,,Active
275,572,3,Pro,24.99,2026-03-20,,Active
276,576,16,Basic,9.99,2026-06-04,,Active
277,577,15,Pro,24.99,2025-08-08,,Active
278,578,23,Team,59.99,2026-04-10,,Active
279,579,21,Basic,9.99,2025-10-07,,Active
280,579,9,Team,59.99,2025-08-15,,Active
281,583,19,Team,59.99,2026-01-15,,Active
282,584,12,Team,59.99,2026-04-01,,Active
283,586,29,Pro,24.99,2025-02-21,,Active
284,586,30,Team,59.99,2025-11-11,,Active
285,589,25,Basic,9.99,2026-05-11,,Active
286,591,8,Basic,9.99,2025-11-04,2026-03-15,Cancelled
287,595,12,Pro,24.99,2025-12-24,,Active
288,595,17,Basic,9.99,2025-07-10,,Active
289,596,27,Enterprise,149.99,2025-07-10,,Active
290,597,26,Enterprise,149.99,2026-03-06,,Active
291,598,15,Pro,24.99,2026-02-19,,Active
292,598,8,Pro,24.99,2025-06-27,,Active
293,599,19,Pro,24.99,2026-03-03,,Active
294,605,4,Basic,9.99,2026-05-21,,Active
295,609,13,Pro,24.99,2025-12-27,2026-02-23,Cancelled
296,614,1,Pro,24.99,2025-12-30,,Active
297,615,12,Pro,24.99,2026-01-07,,Active
298,617,7,Basic,9.99,2025-08-29,,Active
299,619,19,Basic,9.99,2025-12-27,,Active
300,619,18,Basic,9.99,2025-09-22,2025-10-31,Cancelled
301,623,10,Team,59.99,2026-02-15,,Active
302,624,20,Basic,9.99,2025-06-05,,Active
303,625,20,Pro,24.99,2025-09-18,2026-03-12,Cancelled
304,625,18,Basic,9.99,2025-10-27,,Active
305,626,10,Team,59.99,2026-05-17,,Active
306,628,16,Team,59.99,2026-05-10,,Active
307,628,15,Pro,24.99,2026-06-17,,Active
308,629,21,Pro,24.99,2026-02-21,,Active
309,630,23,Basic,9.99,2026-03-13,,Active
310,631,24,Team,59.99,2025-10-23,,Active
311,631,9,Pro,24.99,2026-05-10,,Active
312,634,28,Basic,9.99,2026-01-22,,Active
313,634,5,Basic,9.99,2026-04-11,,Active
314,637,18,Basic,9.99,2025-12-15,,Active
315,639,10,Pro,24.99,2025-03-27,,Active
316,640,24,Team,59.99,2026-03-02,,Active
317,645,17,Pro,24.99,2025-03-25,,Active
318,646,18,Basic,9.99,2026-01-26,,Active
319,647,3,Basic,9.99,2026-05-03,,Active
320,648,22,Pro,24.99,2026-02-10,,Active
321,652,8,Basic,9.99,2025-12-10,,Active
322,653,1,Pro,24.99,2026-04-23,,Active
323,655,25,Pro,24.99,2025-08-18,,Active
324,656,18,Basic,9.99,2025-07-24,,Active
325,666,29,Basic,9.99,2026-03-25,,Active
326,666,30,Team,59.99,2026-03-14,,Active
327,667,11,Team,59.99,2026-03-05,,Active
328,676,10,Pro,24.99,2025-12-07,,Active
329,676,11,Pro,24.99,2026-02-04,,Active
330,677,16,Team,59.99,2025-10-31,,Active
331,684,14,Basic,9.99,2026-05-27,,Active
332,688,24,Team,59.99,2026-05-04,,Active
333,690,19,Pro,24.99,2026-02-22,,Active
334,692,9,Basic,9.99,2026-04-12,,Active
335,700,24,Basic,9.99,2025-12-18,2026-03-28,Cancelled
336,701,21,Basic,9.99,2025-10-03,,Active
337,701,17,Team,59.99,2026-05-01,,Active
338,711,3,Basic,9.99,2025-09-24,,Active
339,711,18,Basic,9.99,2026-05-09,,Active
340,718,9,Pro,24.99,2025-11-27,,Active
341,720,24,Pro,24.99,2025-06-08,,Active
342,728,23,Basic,9.99,2025-10-23,,Active
343,730,7,Basic,9.99,2026-05-24,,Active
344,730,25,Basic,9.99,2026-01-22,,Active
345,733,5,Pro,24.99,2026-04-24,,Active
346,736,20,Pro,24.99,2025-09-03,,Active
347,737,15,Basic,9.99,2025-11-15,,Active
348,737,9,Enterprise,149.99,2025-10-15,,Active
349,743,6,Basic,9.99,2025-05-16,,Active
350,746,27,Pro,24.99,2025-11-10,,Active
351,748,14,Pro,24.99,2026-02-18,,Active
352,748,5,Basic,9.99,2026-02-07,2026-03-27,Cancelled
353,749,12,Basic,9.99,2025-11-11,,Active
354,754,25,Basic,9.99,2025-06-12,,Active
355,756,15,Team,59.99,2025-12-13,,Active
356,768,23,Enterprise,149.99,2025-07-24,,Active
357,772,6,Pro,24.99,2026-06-12,,Active
358,772,29,Team,59.99,2026-02-21,,Active
359,773,24,Team,59.99,2026-04-21,,Active
360,777,18,Pro,24.99,2026-05-28,,Active
361,779,9,Pro,24.99,2026-04-03,,Active
362,784,15,Pro,24.99,2026-06-25,,Active
363,786,28,Pro,24.99,2025-10-21,,Active
364,787,20,Basic,9.99,2026-05-06,,Active
365,791,3,Enterprise,149.99,2026-01-03,,Active
366,792,13,Basic,9.99,2025-10-08,,Active
367,795,25,Basic,9.99,2026-06-25,,Active
368,798,2,Basic,9.99,2026-04-05,,Active
369,802,16,Pro,24.99,2026-05-20,,Active
370,802,9,Pro,24.99,2026-03-03,,Active
371,803,4,Team,59.99,2026-03-11,,Active
372,803,19,Team,59.99,2025-09-27,,Active
373,809,26,Team,59.99,2026-01-26,,Active
374,815,21,Pro,24.99,2026-02-24,,Active
375,817,9,Pro,24.99,2026-02-11,,Active
376,817,7,Basic,9.99,2026-01-30,,Active
377,818,8,Enterprise,149.99,2026-04-06,,Active
378,824,10,Basic,9.99,2026-06-19,,Active
379,824,19,Basic,9.99,2026-01-03,,Active
380,826,4,Team,59.99,2025-12-02,,Active
381,826,24,Enterprise,149.99,2025-11-29,2026-04-15,Cancelled
382,827,25,Basic,9.99,2026-02-21,,Active
383,829,5,Pro,24.99,2026-03-23,,Active
384,831,18,Pro,24.99,2026-03-25,,Active
385,836,18,Basic,9.99,2025-06-07,,Active
386,838,6,Pro,24.99,2026-05-13,2026-06-28,Cancelled
387,839,22,Pro,24.99,2025-10-06,,Active
388,840,13,Basic,9.99,2026-06-26,,Active
389,840,16,Pro,24.99,2026-03-12,,Active
390,845,4,Basic,9.99,2025-07-02,2025-10-07,Cancelled
391,845,2,Basic,9.99,2025-08-19,,Active
392,847,25,Pro,24.99,2025-08-04,,Active
393,851,4,Basic,9.99,2026-05-27,,Active
394,853,20,Pro,24.99,2025-10-15,,Active
395,854,25,Basic,9.99,2026-03-18,,Active
396,854,6,Pro,24.99,2026-05-20,,Active
397,855,9,Pro,24.99,2026-04-26,,Active
398,856,19,Pro,24.99,2026-01-28,,Active
399,857,22,Basic,9.99,2025-12-05,,Active
400,858,22,Basic,9.99,2025-12-26,2026-03-01,Cancelled
401,858,25,Basic,9.99,2025-07-13,,Active
402,859,8,Pro,24.99,2026-06-08,,Active
403,860,11,Pro,24.99,2025-09-30,,Active
404,863,7,Pro,24.99,2025-12-18,,Active
405,864,23,Pro,24.99,2026-05-30,,Active
406,864,10,Basic,9.99,2026-04-10,,Active
407,868,24,Pro,24.99,2025-11-06,,Active
408,871,21,Basic,9.99,2025-10-11,,Active
409,872,25,Pro,24.99,2026-03-20,,Active
410,872,6,Basic,9.99,2025-11-12,2026-03-09,Cancelled
411,875,28,Basic,9.99,2025-10-13,,Active
412,875,23,Basic,9.99,2026-01-13,,Active
413,877,8,Basic,9.99,2025-08-30,,Active
414,877,25,Basic,9.99,2026-03-11,2026-04-15,Cancelled
415,884,20,Basic,9.99,2025-11-25,,Active
416,886,18,Pro,24.99,2025-06-30,,Active
417,887,6,Basic,9.99,2025-12-24,,Active
418,888,1,Pro,24.99,2026-03-28,,Active
419,891,6,Basic,9.99,2025-05-11,,Active
420,894,3,Basic,9.99,2026-03-31,,Active
421,896,1,Pro,24.99,2026-03-30,2026-04-29,Cancelled
422,899,15,Basic,9.99,2026-05-24,,Active
423,902,7,Pro,24.99,2026-04-14,,Active
424,902,25,Basic,9.99,2026-02-22,,Active
425,903,19,Basic,9.99,2025-05-16,,Active
426,903,18,Pro,24.99,2025-07-24,,Active
427,905,25,Basic,9.99,2026-06-04,,Active
428,906,27,Basic,9.99,2025-08-06,,Active
429,911,13,Basic,9.99,2026-04-17,,Active
430,912,7,Basic,9.99,2025-06-08,,Active
431,912,5,Basic,9.99,2025-05-21,,Active
432,913,28,Team,59.99,2026-02-24,,Active
433,913,5,Pro,24.99,2026-05-20,,Active
434,918,3,Team,59.99,2026-03-26,,Active
435,923,18,Pro,24.99,2025-12-11,,Active
436,924,2,Basic,9.99,2026-01-13,,Active
437,924,2,Pro,24.99,2026-03-17,,Active
438,926,11,Pro,24.99,2026-03-11,,Active
439,929,20,Basic,9.99,2025-08-17,,Active
440,929,9,Team,59.99,2025-10-11,,Active
441,930,8,Team,59.99,2025-06-10,2025-07-21,Cancelled
442,930,22,Pro,24.99,2025-04-23,,Active
443,932,24,Pro,24.99,2026-06-01,,Active
444,933,7,Basic,9.99,2026-02-06,2026-03-24,Cancelled
445,933,6,Pro,24.99,2025-08-07,,Active
446,939,10,Pro,24.99,2026-04-07,,Active
447,948,8,Pro,24.99,2026-02-20,,Active
448,953,1,Team,59.99,2026-02-27,,Active
449,954,10,Team,59.99,2025-11-13,,Active
450,955,6,Basic,9.99,2025-11-05,,Active
451,958,23,Basic,9.99,2025-06-29,,Active
452,958,28,Enterprise,149.99,2025-10-20,,Active
453,962,2,Pro,24.99,2026-02-07,,Active
454,968,3,Pro,24.99,2026-01-04,,Active
455,969,10,Pro,24.99,2026-05-12,,Active
456,969,19,Basic,9.99,2026-02-24,,Active
457,972,19,Pro,24.99,2025-06-13,2025-10-25,Cancelled
458,972,24,Basic,9.99,2025-07-23,,Active
459,973,20,Team,59.99,2025-10-07,,Active
460,975,20,Basic,9.99,2025-03-19,,Active
461,979,18,Pro,24.99,2026-03-10,,Active
462,979,8,Pro,24.99,2026-06-24,,Active
463,981,28,Pro,24.99,2025-09-03,,Active
464,982,25,Pro,24.99,2026-01-27,,Active
465,987,25,Enterprise,149.99,2025-10-23,,Active
466,987,25,Basic,9.99,2025-04-07,,Active
467,989,10,Pro,24.99,2026-02-09,,Active
468,994,11,Basic,9.99,2025-08-28,,Active
469,995,20,Pro,24.99,2026-06-13,,Active
470,1000,18,Basic,9.99,2026-02-15,,Active
471,1000,20,Pro,24.99,2026-03-18,,Active
472,1002,12,Team,59.99,2026-03-26,,Active
473,1002,17,Team,59.99,2026-05-06,,Active
474,1004,12,Basic,9.99,2026-04-20,,Active
475,1004,26,Pro,24.99,2026-02-13,,Active
476,1006,19,Pro,24.99,2025-02-06,,Active
477,1009,3,Basic,9.99,2026-03-31,,Active
478,1010,11,Pro,24.99,2026-05-11,,Active
479,1010,12,Basic,9.99,2025-09-28,,Active
480,1023,30,Pro,24.99,2025-12-15,,Active
481,1025,18,Basic,9.99,2026-06-22,,Active
482,1029,6,Pro,24.99,2026-04-30,,Active
483,1033,4,Pro,24.99,2026-04-07,,Active
484,1034,2,Basic,9.99,2025-10-06,2026-02-07,Cancelled
485,1035,5,Pro,24.99,2025-07-12,,Active
486,1035,25,Basic,9.99,2025-12-31,,Active
487,1036,10,Basic,9.99,2026-01-15,,Active
488,1037,27,Basic,9.99,2025-10-28,,Active
489,1037,17,Basic,9.99,2026-01-27,,Active
490,1044,14,Basic,9.99,2025-08-02,,Active
491,1046,25,Pro,24.99,2025-08-19,,Active
492,1046,21,Pro,24.99,2025-11-24,,Active
493,1048,26,Basic,9.99,2025-11-30,2026-05-25,Cancelled
494,1049,25,Team,59.99,2025-11-17,,Active
495,1052,1,Team,59.99,2025-09-12,,Active
496,1057,10,Enterprise,149.99,2026-05-30,,Active
497,1059,24,Basic,9.99,2025-09-20,,Active
498,1061,7,Basic,9.99,2025-12-17,,Active
499,1064,1,Basic,9.99,2025-11-24,,Active
500,1065,15,Pro,24.99,2025-09-06,2026-01-09,Cancelled
501,1066,30,Basic,9.99,2025-10-01,2026-03-25,Cancelled
502,1070,10,Enterprise,149.99,2025-03-12,,Active
503,1072,18,Pro,24.99,2026-06-12,,Active
504,1073,3,Enterprise,149.99,2026-01-06,,Active
505,1075,10,Basic,9.99,2026-01-14,,Active
506,1078,9,Enterprise,149.99,2025-11-09,2026-01-07,Cancelled
507,1083,11,Pro,24.99,2026-05-16,,Active
508,1083,11,Pro,24.99,2025-10-30,,Active
509,1084,13,Pro,24.99,2026-05-29,,Active
510,1096,14,Pro,24.99,2026-03-28,,Active
511,1097,3,Basic,9.99,2026-01-11,,Active
512,1100,13,Team,59.99,2025-11-22,,Active
513,1103,20,Team,59.99,2026-04-07,,Active
514,1103,2,Pro,24.99,2026-05-26,,Active
515,1107,22,Pro,24.99,2025-05-22,2025-09-01,Cancelled
516,1119,2,Team,59.99,2026-05-03,2026-06-23,Cancelled
517,1119,11,Basic,9.99,2026-05-15,,Active
518,1123,10,Team,59.99,2025-07-05,2025-10-03,Cancelled
519,1127,19,Team,59.99,2026-05-04,,Active
520,1130,19,Pro,24.99,2025-08-20,,Active
521,1131,19,Basic,9.99,2026-02-17,,Active
522,1131,27,Pro,24.99,2026-06-30,,Active
523,1134,18,Team,59.99,2026-01-14,2026-04-23,Cancelled
524,1135,22,Team,59.99,2026-05-16,,Active
525,1136,18,Basic,9.99,2025-11-29,,Active
526,1137,19,Basic,9.99,2026-01-21,,Active
527,1137,22,Basic,9.99,2026-01-19,,Active
528,1139,6,Basic,9.99,2025-09-27,,Active
529,1141,16,Pro,24.99,2025-11-13,,Active
530,1143,17,Pro,24.99,2025-09-18,,Active
531,1147,19,Basic,9.99,2026-04-07,,Active
532,1155,10,Basic,9.99,2026-04-16,,Active
533,1156,11,Basic,9.99,2025-05-02,,Active
534,1159,10,Enterprise,149.99,2025-08-01,2025-11-22,Cancelled
535,1160,5,Team,59.99,2026-01-21,,Active
536,1161,16,Pro,24.99,2025-08-21,,Active
